,,MAE,MAE,RMSE,RMSE
DHA_DIV,9,368.45008183306044,368.45008183306044,389.9740285897826,389.9740285897826
DHA_DIV,10,371.06318681318686,371.06318681318686,392.8919757207828,392.8919757207828
DHA_DIV,11,373.7188710570005,373.7188710570005,395.872305719671,395.872305719671
DHA_DIV,12,376.40189520624307,376.40189520624307,398.8981660214617,398.8981660214617
DHA_METRO,1,348.1648597487522,348.1648597487522,378.9918192582065,378.9918192582065
DHA_METRO,2,351.03060753060765,351.03060753060765,382.0761117798234,382.0761117798234
DHA_METRO,3,353.9289493575207,353.9289493575207,385.20065284237126,385.20065284237126
DHA_METRO,4,356.8740779768177,356.8740779768177,388.3808280341342,388.3808280341342
DHA_METRO,5,359.8578838785735,359.8578838785735,391.6079784011893,391.6079784011893
DHA_METRO,6,362.87790835707517,362.87790835707517,394.87951123505906,394.87951123505906
DHA_METRO,7,365.94411571334666,365.94411571334666,398.2063031113809,398.2063031113809
DHA_METRO,8,369.5340676537859,369.5340676537859,401.5808789081993,401.5808789081993
DHA_METRO,9,373.2569558101471,373.2569558101471,405.0092964471151,405.0092964471151
DHA_METRO,10,377.03144078144066,377.03144078144066,408.4904925278655,408.4904925278655
DHA_METRO,11,380.86742913361593,380.86742913361593,412.03370459560597,412.03370459560597
DHA_METRO,12,384.7429084602995,384.7429084602995,415.6186722927875,415.6186722927875
KHU,1,479.0060230597141,479.0060230597141,480.04817405904606,480.04817405904606
KHU,2,482.39281589281603,482.39281589281603,483.42766585595933,483.42766585595933
KHU,3,485.81812896098603,485.81812896098603,486.84569805749953,486.84569805749953
KHU,4,489.29873551106425,489.29873551106425,490.3190103011175,490.3190103011175
KHU,5,492.82505157677565,492.82505157677565,493.8380410130355,493.8380410130355
KHU,6,496.39417141500485,496.39417141500485,497.3998921438666,497.3998921438666
KHU,7,500.01787101787124,500.01787101787124,501.01631772546625,501.01631772546625
KHU,8,503.6879138076319,503.6879138076319,504.6790998306007,504.6790998306007
KHU,9,507.4108019639932,507.4108019639932,508.3947297520733,508.3947297520733
KHU,10,511.18528693528685,511.18528693528685,512.1619635125713,512.1619635125713
KHU,11,515.0212752874621,515.0212752874621,515.9906910872179,515.9906910872179
KHU,12,518.8967546141456,518.8967546141456,519.8589435981975,519.8589435981975
MYM,1,492.0829461366372,492.0829461366372,492.16993729837634,492.16993729837634
MYM,2,495.4697389697391,495.4697389697391,495.5561356057621,495.5561356057621
MYM,3,498.8950520379091,498.8950520379091,498.9808555943635,498.9808555943635
MYM,4,502.37565858798735,502.37565858798735,502.4608677732916,502.4608677732916
MYM,5,505.90197465369874,505.90197465369874,505.9865900004533,505.9865900004533
MYM,6,509.47109449192794,509.47109449192794,509.55511716062495,509.55511716062495
MYM,7,513.0947940947943,513.0947940947943,513.1782234555112,513.1782234555112
MYM,8,516.7648368845549,516.7648368845549,516.8476738286591,516.8476738286591
MYM,9,520.4877250409163,520.4877250409163,520.5699695718566,520.5699695718566
MYM,10,524.26221001221,524.26221001221,524.3438625069066,524.3438625069066
MYM,11,528.0981983643852,528.0981983643852,528.179257844801,528.179257844801
MYM,12,531.9736776910687,531.9736776910687,532.0541467350258,532.0541467350258
RAJ,1,462.54448459817564,462.54448459817564,468.62196722004614,468.62196722004614
RAJ,2,465.9312774312776,465.9312774312776,471.96515042716464,471.96515042716464
RAJ,3,469.3565904994476,469.3565904994476,475.3469858684918,475.3469858684918
RAJ,4,472.8371970495258,472.8371970495258,478.78404614465404,478.78404614465404
RAJ,5,476.3635131152372,476.3635131152372,482.2668810487456,482.2668810487456
RAJ,6,479.9326329534664,479.9326329534664,485.7926307619753,485.7926307619753
RAJ,7,483.5563325563328,483.5563325563328,489.3729402861633,489.3729402861633
RAJ,8,487.22637534609345,487.22637534609345,492.99968434258307,492.99968434258307
RAJ,9,490.94926350245476,490.94926350245476,496.6793002155384,496.6793002155384
RAJ,10,494.72374847374834,494.72374847374834,500.41056666792207,500.41056666792207
RAJ,11,498.5597368259236,498.5597368259236,504.2032914538822,504.2032914538822
RAJ,12,502.4352161526072,502.4352161526072,508.03572153866435,508.03572153866435
RAN,1,499.69833075202183,499.69833075202183,499.7018950199553,499.7018950199553
RAN,2,503.08512358512377,503.08512358512377,503.08866385840645,503.08866385840645
RAN,3,506.51043665329377,506.51043665329377,506.5139529853918,506.5139529853918
RAN,4,509.991043203372,509.991043203372,509.9945355372362,509.9945355372362
RAN,5,513.5173592690834,513.5173592690834,513.5208276213053,513.5208276213053
RAN,6,517.0864791073126,517.0864791073126,517.0899235198601,517.0899235198601
RAN,7,520.710178710179,520.710178710179,520.7135991527051,520.7135991527051
RAN,8,524.3802214999396,524.3802214999396,524.38361800356,524.38361800356
RAN,9,528.103109656301,528.103109656301,528.1064822162597,528.1064822162597
RAN,10,531.8775946275945,531.8775946275945,531.8809432542337,531.8809432542337
RAN,11,535.7135829797697,535.7135829797697,535.716907628647,535.716907628647
RAN,12,539.5890623064533,539.5890623064533,539.5923630769206,539.5923630769206
SYL,1,499.4675615212526,499.4675615212526,499.4732598645082,499.4732598645082
SYL,2,502.85435435435454,502.85435435435454,502.8600143189225,502.8600143189225
SYL,3,506.27966742252454,506.27966742252454,506.2852890941571,506.2852890941571
SYL,4,509.7602739726027,509.7602739726027,509.76585726028713,509.76585726028713
SYL,5,513.2865900383141,513.2865900383141,513.2921349688232,513.2921349688232
SYL,6,516.8557098765433,516.8557098765433,516.8612165172367,516.8612165172367
SYL,7,520.4794094794097,520.4794094794097,520.4848777819846,520.4848777819846
SYL,8,524.1494522691703,524.1494522691703,524.1548822836279,524.1548822836279
SYL,9,527.8723404255317,527.8723404255317,527.8777321445002,527.8777321445002
SYL,10,531.6468253968253,531.6468253968253,531.6521788370803,531.6521788370803
SYL,11,535.4828137490006,535.4828137490006,535.4881288396963,535.4881288396963
SYL,12,539.3582930756841,539.3582930756841,539.3635699759561,539.3635699759561
